split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
train,Hanson,2,,,-2.196,4.453,-0.282,0.046,,-2.921,-3.295,-0.255,7.782,8.191,,,,
train,Hanson,2,,,-2.921,-3.295,-0.255,1.383,,0.118,4.080,-0.277,7.976,10.486,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-0.022,0.884,-0.269,8.311,9.182,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-1.499,4.157,2.728,6.824,12.654,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-2.861,1.335,-0.276,8.085,8.428,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-2.861,1.335,-0.276,8.431,9.060,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,-0.135,-0.586,-0.272,6.542,6.542,,,,
train,Hanson,2,,,-3.082,3.782,-0.282,5.736,,-2.921,-3.295,-0.255,7.079,7.079,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-0.135,-0.586,-0.272,9.919,9.923,,,,
train,Hanson,0,,,0.175,-3.913,2.723,0.612,,-2.932,3.797,2.733,8.312,8.793,,,,
train,Hanson,2,,,-3.082,3.782,-0.282,5.736,,0.473,-1.782,-0.260,6.603,8.525,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-1.858,9.521,2.735,12.199,12.736,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-4.196,-1.444,-0.256,9.652,9.894,,,,
train,Hanson,0,,,0.175,-3.913,2.723,0.612,,-2.334,5.037,2.726,9.295,10.109,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-4.220,-3.308,-0.249,11.516,11.689,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-2.915,-1.548,-0.269,11.216,11.935,,,,
train,Hanson,2,,,-3.035,5.756,-0.280,6.272,,-4.196,-1.444,-0.256,7.293,7.358,,,,
train,Hanson,0,,,-1.409,-4.723,2.713,0.649,,-1.909,8.067,2.723,12.800,13.366,,,,
train,Hanson,2,,,-3.035,5.756,-0.280,6.272,,-3.177,-0.096,-0.277,5.853,5.853,,,,
train,Hanson,2,,,-3.082,3.782,-0.282,5.736,,-0.135,-0.586,-0.272,5.269,6.147,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,-0.022,0.884,-0.269,5.069,5.069,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-4.220,-3.308,-0.249,11.672,11.858,,,,
train,Hanson,0,,,-1.289,-1.394,2.704,1.071,,-2.932,3.797,2.733,5.445,5.679,,,,
train,Hanson,0,,,0.175,-3.913,2.723,0.612,,-2.083,6.764,2.730,10.913,11.846,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-3.038,2.709,-0.278,6.762,7.051,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,-3.177,-0.096,-0.277,7.097,9.176,,,,
train,Hanson,2,,,-2.196,4.453,-0.282,0.046,,0.473,-1.782,-0.260,6.782,9.637,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-3.082,3.782,-0.282,6.257,6.602,,,,
train,Hanson,2,,,-3.038,2.709,-0.278,1.242,,-2.921,-3.295,-0.255,6.005,6.005,,,,
train,Hanson,2,,,-0.289,7.187,-0.271,2.820,,-3.177,-0.096,-0.277,7.835,8.334,,,,
train,Hanson,2,,,-4.220,-3.308,-0.249,1.502,,-1.243,2.046,-0.275,6.126,8.046,,,,
train,Hanson,2,,,-2.921,-3.295,-0.255,1.383,,-0.022,2.623,-0.278,6.590,9.023,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-4.196,-1.444,-0.256,11.496,11.988,,,,
train,Hanson,2,,,-3.177,-0.096,-0.277,2.265,,0.118,4.080,-0.277,5.320,7.290,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-0.022,2.623,-0.278,6.712,6.712,,,,
train,Hanson,2,,,-2.915,-1.548,-0.269,2.552,,-0.022,2.623,-0.278,5.077,7.277,,,,
train,Hanson,0,,,-1.289,-1.394,2.704,1.071,,-1.499,4.157,2.728,5.555,11.403,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-0.022,0.884,-0.269,8.610,9.176,,,,
train,Hanson,2,,,-1.589,6.111,-0.282,2.150,,-2.921,-3.295,-0.255,9.499,9.845,,,,
train,Hanson,0,,,-1.977,0.559,2.705,3.794,,-1.909,8.067,2.723,7.508,7.767,,,,
train,Hanson,2,,,-3.086,7.229,-0.276,3.790,,0.473,-1.782,-0.260,9.688,11.971,,,,
train,Hanson,0,,,-1.791,-3.496,2.726,4.427,,-2.083,6.764,2.730,10.264,10.892,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-2.334,5.037,2.726,7.780,8.245,,,,
train,Hanson,0,,,-1.289,-1.394,2.704,1.071,,-2.334,5.037,2.726,6.515,6.994,,,,
train,Hanson,0,,,-1.409,-4.723,2.713,0.649,,-1.499,4.157,2.728,8.881,14.726,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,0.473,-1.782,-0.260,7.698,7.769,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-2.861,1.335,-0.276,6.957,6.965,,,,
train,Hanson,2,,,-2.196,4.453,-0.282,0.046,,-2.915,-1.548,-0.269,6.045,6.445,,,,
train,Hanson,2,,,-0.289,7.187,-0.271,2.820,,-2.921,-3.295,-0.255,10.808,11.533,,,,
train,Hanson,0,,,-1.092,-0.306,2.707,0.224,,-2.334,5.037,2.726,5.485,5.888,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-4.196,-1.444,-0.256,9.832,10.062,,,,
train,Hanson,2,,,-3.035,5.756,-0.280,6.272,,0.473,-1.782,-0.260,8.314,10.498,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-0.022,2.623,-0.278,6.054,8.759,,,,
train,Hanson,0,,,-1.791,-3.496,2.726,4.427,,-2.902,2.952,2.725,6.543,6.993,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,0.595,5.915,-0.276,5.096,6.646,,,,
train,Hanson,0,,,-1.791,-3.496,2.726,4.427,,-2.932,3.797,2.733,7.382,7.839,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-1.243,2.046,-0.275,6.265,7.665,,,,
train,Hanson,0,,,-1.791,-3.496,2.726,4.427,,-1.909,8.067,2.723,11.563,12.203,,,,
train,Hanson,0,,,-1.092,-0.306,2.707,0.224,,-2.083,6.764,2.730,7.139,7.626,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-0.022,2.623,-0.278,6.912,7.456,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,1.054,9.383,-0.221,8.338,8.378,,,,
train,Merom,0,,,2.276,5.733,-2.759,6.168,,2.399,0.555,-2.721,5.180,5.180,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,4.173,7.144,-0.235,8.529,9.961,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,4.205,8.458,-0.245,9.828,11.277,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,0.807,8.388,-0.219,6.417,6.545,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,-1.985,7.147,-0.202,8.345,11.225,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,1.793,7.136,-0.228,7.167,7.194,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,0.680,7.230,-0.224,7.448,8.310,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,3.048,8.563,-0.479,7.428,7.795,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,1.793,7.136,-0.228,5.089,5.089,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,3.048,8.563,-0.479,5.995,6.158,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,0.807,8.388,-0.219,8.551,8.654,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,3.048,8.563,-0.479,8.583,8.910,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,4.173,7.144,-0.235,5.625,6.633,,,,
train,Merom,0,,,3.820,9.250,-2.768,1.986,,2.753,2.315,-2.736,7.017,7.293,,,,
train,Merom,2,,,-0.629,-0.747,-0.234,0.762,,-1.339,6.742,-0.205,7.523,9.694,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,-1.985,7.147,-0.202,9.511,12.193,,,,
train,Merom,2,,,-1.985,7.147,-0.202,4.554,,1.949,3.639,-0.493,5.279,7.288,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,0.680,7.230,-0.224,5.300,6.205,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,1.821,5.964,-0.239,5.998,6.026,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,4.173,7.144,-0.235,7.341,8.742,,,,
train,Merom,0,,,1.578,7.751,-2.749,2.271,,2.753,2.315,-2.736,5.562,5.562,,,,
train,Merom,0,,,2.276,5.733,-2.759,6.168,,3.546,0.108,-2.726,5.767,5.796,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,0.807,8.388,-0.219,7.715,8.903,,,,
train,Merom,0,,,-1.107,0.667,-2.761,0.973,,-0.340,6.936,-2.740,6.316,6.426,,,,
train,Merom,2,,,3.048,8.563,-0.479,3.401,,1.949,3.639,-0.493,5.044,5.226,,,,
train,Merom,0,,,2.638,9.128,-2.767,3.146,,2.753,2.315,-2.736,6.814,6.866,,,,
train,Merom,0,,,0.043,0.115,-2.762,1.570,,0.662,6.784,-2.735,6.698,9.696,,,,
train,Merom,2,,,-1.985,7.147,-0.202,4.554,,4.173,7.144,-0.235,6.159,6.159,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,1.793,7.136,-0.228,6.174,7.447,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,4.173,7.144,-0.235,5.018,5.989,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,3.048,8.563,-0.479,7.244,9.159,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,4.205,8.458,-0.245,6.850,7.948,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,2.820,6.839,-0.231,8.069,8.574,,,,
train,Merom,2,,,-0.629,-0.747,-0.234,0.762,,-1.346,5.970,-0.199,6.755,8.924,,,,
train,Merom,0,,,3.820,9.250,-2.768,1.986,,2.399,0.555,-2.721,8.811,9.021,,,,
train,Merom,0,,,2.776,7.755,-2.763,2.133,,2.753,2.315,-2.736,5.441,5.535,,,,
train,Merom,0,,,1.578,7.751,-2.749,2.271,,2.399,0.555,-2.721,7.243,7.243,,,,
train,Merom,2,,,-0.736,0.332,-0.239,5.088,,-1.346,5.970,-0.199,5.672,8.383,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,1.793,7.136,-0.228,6.009,6.083,,,,
train,Merom,2,,,1.054,9.383,-0.221,2.448,,1.949,3.639,-0.493,5.819,5.819,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,1.821,5.964,-0.239,7.223,7.246,,,,
train,Merom,0,,,0.043,0.115,-2.762,1.570,,-0.340,6.936,-2.740,6.832,7.291,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,1.054,9.383,-0.221,9.489,9.489,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,3.048,8.563,-0.479,9.804,10.130,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,4.205,8.458,-0.245,7.505,8.942,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,4.205,8.458,-0.245,8.632,10.057,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,2.820,6.839,-0.231,5.689,6.239,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,1.054,9.383,-0.221,6.741,6.741,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,2.820,6.839,-0.231,6.847,7.354,,,,
train,Merom,0,,,1.578,7.751,-2.749,2.271,,3.546,0.108,-2.726,7.892,7.892,,,,
train,Merom,0,,,2.776,7.755,-2.763,2.133,,3.546,0.108,-2.726,7.686,7.879,,,,
train,Merom,2,,,-0.736,0.332,-0.239,5.088,,-1.339,6.742,-0.205,6.439,9.152,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,0.807,8.388,-0.219,5.794,5.901,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,1.793,7.136,-0.228,8.393,8.415,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,1.054,9.383,-0.221,8.537,9.746,,,,
train,Merom,0,,,2.638,9.128,-2.767,3.146,,2.207,3.684,-2.745,5.460,5.460,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,0.807,8.388,-0.219,9.766,9.874,,,,
train,Merom,2,,,0.565,0.919,-0.253,0.250,,-1.339,6.742,-0.205,6.127,7.725,,,,
train,Merom,0,,,0.043,0.115,-2.762,1.570,,-1.048,5.747,-2.747,5.737,5.952,,,,
train,Merom,0,,,3.820,9.250,-2.768,1.986,,2.207,3.684,-2.745,5.795,5.891,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,4.205,8.458,-0.245,7.068,10.306,,,,
train,Merom,2,,,0.565,0.919,-0.253,0.250,,-1.346,5.970,-0.199,5.401,6.955,,,,
train,Merom,0,,,2.638,9.128,-2.767,3.146,,2.399,0.555,-2.721,8.576,8.576,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,-1.985,7.147,-0.202,7.447,9.861,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,0.807,8.388,-0.219,7.410,7.539,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,0.680,7.230,-0.224,8.654,9.531,,,,
train,Merom,0,,,-1.107,0.667,-2.761,0.973,,0.871,7.740,-2.738,7.345,7.847,,,,
train,Merom,2,,,-1.985,7.147,-0.202,4.554,,3.048,8.563,-0.479,5.236,6.603,,,,
train,Merom,0,,,-1.107,0.667,-2.761,0.973,,0.662,6.784,-2.735,6.368,8.825,,,,
train,Merom,2,,,2.476,0.001,-0.252,0.825,,-1.985,7.147,-0.202,8.424,10.972,,,,
train,Merom,0,,,0.043,0.115,-2.762,1.570,,0.871,7.740,-2.738,7.670,8.718,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,0.680,7.230,-0.224,6.319,7.199,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,1.821,5.964,-0.239,5.090,6.275,,,,
train,Merom,2,,,-1.796,0.856,-0.242,4.445,,-1.346,5.970,-0.199,5.134,9.318,,,,
train,Merom,2,,,0.684,1.945,-0.257,0.637,,-1.339,6.742,-0.205,5.207,6.699,,,,
train,Merom,2,,,-0.629,-0.747,-0.234,0.762,,-1.194,4.453,-0.203,5.231,7.400,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,1.054,9.383,-0.221,10.710,10.710,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,2.820,6.839,-0.231,5.586,7.603,,,,
train,Merom,0,,,-1.426,2.306,-2.751,1.762,,0.871,7.740,-2.738,5.899,6.209,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,-1.985,7.147,-0.202,6.347,8.867,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,0.680,7.230,-0.224,6.744,8.563,,,,
train,Merom,2,,,2.446,1.162,-0.258,2.356,,4.173,7.144,-0.235,6.226,7.627,,,,
train,Merom,0,,,2.776,7.755,-2.763,2.133,,2.399,0.555,-2.721,7.210,7.246,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,3.048,8.563,-0.479,6.639,6.801,,,,
train,Merom,0,,,3.820,9.250,-2.768,1.986,,3.546,0.108,-2.726,9.146,9.638,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,1.054,9.383,-0.221,7.373,7.388,,,,
train,Merom,2,,,4.205,8.458,-0.245,3.222,,1.949,3.639,-0.493,5.327,6.373,,,,
train,Merom,2,,,-1.796,0.856,-0.242,4.445,,-1.339,6.742,-0.205,5.905,10.087,,,,
train,Merom,2,,,-1.985,7.147,-0.202,4.554,,4.205,8.458,-0.245,6.328,7.474,,,,
train,Merom,0,,,-1.107,0.667,-2.761,0.973,,-1.048,5.747,-2.747,5.081,5.081,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,-1.985,7.147,-0.202,5.886,8.224,,,,
train,Merom,2,,,1.859,2.691,-0.263,3.091,,4.205,8.458,-0.245,6.226,7.305,,,,
train,Merom,0,,,2.638,9.128,-2.767,3.146,,3.546,0.108,-2.726,9.065,9.210,,,,
train,Merom,2,,,4.057,1.392,-0.264,3.092,,4.173,7.144,-0.235,5.753,8.991,,,,
train,Merom,0,,,-1.426,2.306,-2.751,1.762,,0.662,6.784,-2.735,4.941,7.187,,,,
train,Merom,0,,,3.820,9.250,-2.768,1.986,,2.203,4.603,-2.754,4.921,4.974,,,,
train,Merom,2,,,2.527,-1.225,-0.252,0.256,,1.949,3.639,-0.493,4.905,4.905,,,,
train,Merom,2,,,1.792,2.047,-0.259,1.733,,2.820,6.839,-0.231,4.901,5.245,,,,
train,Merom,2,,,0.807,8.388,-0.219,2.798,,1.949,3.639,-0.493,4.892,4.970,,,,
train,Klickitat,2,,,3.968,-2.380,-0.323,3.501,,3.804,-7.754,-0.825,5.399,16.147,,,,
train,Klickitat,2,,,-6.465,2.136,-0.771,2.774,,0.592,-1.064,-0.311,7.762,9.295,,,,
train,Klickitat,2,,,-1.329,4.996,-0.755,0.257,,-1.101,-1.191,-0.315,6.206,10.143,,,,
train,Klickitat,2,,,1.509,-10.088,-0.828,2.480,,-6.939,-7.583,-0.365,8.823,13.396,,,,
train,Klickitat,2,,,2.178,-2.378,-0.330,3.582,,-8.504,-7.359,-0.387,11.787,14.288,,,,
train,Klickitat,2,,,-4.573,0.785,-0.328,0.082,,-8.504,-7.359,-0.387,9.043,14.515,,,,
train,Klickitat,2,,,-1.329,4.996,-0.755,0.257,,0.748,-4.633,-0.342,9.858,15.365,,,,
train,Klickitat,2,,,-4.594,-0.933,-0.329,1.041,,0.592,-1.064,-0.311,5.188,5.188,,,,
train,Klickitat,2,,,1.024,-8.342,-0.834,3.857,,-4.587,-10.894,-0.301,6.188,8.295,,,,
train,Klickitat,2,,,-3.001,-7.506,-0.317,4.280,,-8.504,-7.359,-0.387,5.506,5.506,,,,
train,Klickitat,2,,,3.664,-9.879,-0.813,0.387,,-4.591,-4.427,-0.316,9.905,12.338,,,,
train,Klickitat,2,,,-2.134,0.886,-0.322,1.693,,-4.781,-7.537,-0.302,8.829,9.667,,,,
train,Klickitat,2,,,-4.626,4.579,-0.788,4.368,,-4.768,-5.681,-0.313,10.272,10.272,,,,
train,Klickitat,2,,,-2.793,4.600,-0.767,4.298,,-10.489,-7.388,-0.814,14.246,20.975,,,,
train,Klickitat,2,,,-6.683,4.303,-0.767,3.219,,3.922,-5.531,-0.334,14.470,16.830,,,,
train,Klickitat,2,,,0.926,-2.540,-0.330,3.220,,-3.001,-7.506,-0.317,6.331,8.461,,,,
train,Klickitat,2,,,1.024,-8.342,-0.834,3.857,,-4.578,-9.123,-0.308,5.681,6.813,,,,
train,Klickitat,2,,,-4.589,2.361,-0.788,5.603,,3.968,-2.380,-0.323,9.794,17.125,,,,
train,Klickitat,2,,,3.922,-5.531,-0.334,2.829,,-4.591,-4.427,-0.316,8.584,15.250,,,,
train,Klickitat,2,,,0.592,-1.064,-0.311,2.565,,-4.768,-5.681,-0.313,7.074,9.939,,,,
train,Klickitat,2,,,3.922,-5.531,-0.334,2.829,,-4.616,-2.528,-0.327,9.051,13.351,,,,
train,Klickitat,2,,,1.509,-10.088,-0.828,2.480,,-5.984,-7.560,-0.287,7.927,9.318,,,,
train,Klickitat,2,,,-4.589,2.361,-0.788,5.603,,2.012,-5.500,-0.336,10.275,12.064,,,,
train,Klickitat,2,,,2.012,-5.500,-0.336,2.192,,-10.489,-7.388,-0.814,12.652,19.029,,,,
train,Klickitat,2,,,-4.626,4.579,-0.788,4.368,,0.926,-2.540,-0.330,9.040,11.100,,,,
train,Klickitat,2,,,-6.465,2.136,-0.771,2.774,,-4.578,-9.123,-0.308,11.426,13.383,,,,
train,Klickitat,2,,,-4.626,4.579,-0.788,4.368,,0.759,-5.803,-0.655,11.696,14.341,,,,
train,Klickitat,2,,,0.803,-7.032,-0.836,1.826,,-4.587,-10.894,-0.301,6.652,7.680,,,,
train,Klickitat,2,,,-4.591,-4.427,-0.316,0.244,,-2.845,-9.671,-0.309,5.527,5.527,,,,
train,Klickitat,2,,,-2.793,4.600,-0.767,4.298,,3.922,-5.531,-0.334,12.162,16.845,,,,
train,Klickitat,2,,,-1.101,-1.191,-0.315,1.677,,3.664,-9.879,-0.813,9.921,12.948,,,,
train,Klickitat,2,,,-6.465,2.136,-0.771,2.774,,2.178,-2.378,-0.330,9.761,12.071,,,,
train,Klickitat,2,,,-1.329,4.996,-0.755,0.257,,0.803,-7.032,-0.836,12.216,17.788,,,,
train,Klickitat,2,,,0.748,-4.633,-0.342,1.990,,-4.768,-5.681,-0.313,5.615,8.930,,,,
train,Klickitat,2,,,0.926,-2.540,-0.330,3.220,,3.804,-7.754,-0.825,5.976,7.933,,,,
train,Klickitat,2,,,0.360,0.891,-0.320,4.105,,3.804,-7.754,-0.825,9.319,11.363,,,,
train,Klickitat,2,,,-4.594,-0.933,-0.329,1.041,,0.748,-4.633,-0.342,6.498,8.760,,,,
train,Klickitat,2,,,1.509,-10.088,-0.828,2.480,,-4.781,-7.537,-0.302,6.808,8.121,,,,
train,Klickitat,2,,,0.592,-1.064,-0.311,2.565,,-4.616,-2.528,-0.327,5.410,6.783,,,,
train,Klickitat,3,,,-7.673,-11.955,0.824,2.693,,0.559,-14.601,0.820,8.647,14.525,,,,
train,Klickitat,2,,,2.178,-2.378,-0.330,3.582,,-0.975,-6.993,-0.328,5.590,6.814,,,,
train,Klickitat,2,,,-6.465,2.136,-0.771,2.774,,3.040,-6.871,-0.825,13.095,17.533,,,,
train,Klickitat,2,,,3.968,-2.380,-0.323,3.501,,-5.984,-7.560,-0.287,11.220,19.566,,,,
train,Klickitat,2,,,3.922,-5.531,-0.334,2.829,,-10.489,-7.388,-0.814,14.538,20.939,,,,
train,Klickitat,3,,,-9.953,-10.349,0.799,4.789,,2.042,-13.821,0.825,12.488,14.918,,,,
train,Klickitat,2,,,3.922,-5.531,-0.334,2.829,,-4.587,-10.894,-0.301,10.059,17.265,,,,
train,Klickitat,2,,,-6.683,4.303,-0.767,3.219,,3.804,-7.754,-0.825,15.980,19.668,,,,
train,Klickitat,2,,,2.012,-5.500,-0.336,2.192,,-5.984,-7.560,-0.287,8.258,14.505,,,,
train,Klickitat,2,,,0.759,-5.803,-0.655,1.837,,-8.504,-7.359,-0.387,9.396,10.566,,,,
